ageGroup,MDC,count
0 to 17,Alcohol/Drug Use and Alcohol/Drug Induced Organic Mental Disorders,214
0 to 17,Burns,559
0 to 17,"Blood, Blood Forming Organs and Immunological Disorders",4356
0 to 17,Circulatory System,2970
0 to 17,Digestive System,14094
0 to 17,Eye,573
0 to 17,Female Reproductive System,575
0 to 17,Hepatobiliary System and Pancreas,1105
0 to 17,Kidney and Urinary Tract,3686
0 to 17,Male Reproductive System,387
0 to 17,Musculoskeletal System and Conn Tissue,6694
0 to 17,Nervous System,12298
0 to 17,Respiratory System,27928
0 to 17,"Skin, Subcutaneous Tissue and Breast",4594
0 to 17,"Ear, Nose, Mouth, Throat and Craniofacial Diseases and Disorders",7814
0 to 17,"Endocrine, Nutritional and Metabolic Diseases and Disorders",5195
0 to 17,Human Immunodeficiency Virus Infections,13
0 to 17,"Infectious and Parasitic Diseases, Systemic or Unspecified Sites",5907
0 to 17,"Lymphatic, Hematopoietic, Other Malignancies, Chemotherapy and Radiotherapy",1984
0 to 17,Mental Diseases and Disorders,10682
0 to 17,Multiple Significant Trauma,264
0 to 17,Newborns and Other Neonates with Conditions Originating in the Perinatal Period,229534
0 to 17,"Poisonings, Toxic Effects, Other Injuries and Other Complications of Treatment",2265
0 to 17,Pre-MDC or Ungroupable,8
0 to 17,"Pregnancy, Childbirth and the Puerperium",2495
0 to 17,"Rehabilitation, Aftercare, Other Factors Influencing Health Status and Other Health Service Contacts",1441
18 to 29,Alcohol/Drug Use and Alcohol/Drug Induced Organic Mental Disorders,13790
18 to 29,Burns,253
18 to 29,"Blood, Blood Forming Organs and Immunological Disorders",5198
18 to 29,Circulatory System,4199
18 to 29,Digestive System,13147
18 to 29,Eye,323
18 to 29,Female Reproductive System,1837
18 to 29,Hepatobiliary System and Pancreas,4821
18 to 29,Kidney and Urinary Tract,4154
18 to 29,Male Reproductive System,342
18 to 29,Musculoskeletal System and Conn Tissue,6950
18 to 29,Nervous System,8933
18 to 29,Respiratory System,6269
18 to 29,"Skin, Subcutaneous Tissue and Breast",4719
18 to 29,"Ear, Nose, Mouth, Throat and Craniofacial Diseases and Disorders",2977
18 to 29,"Endocrine, Nutritional and Metabolic Diseases and Disorders",7381
18 to 29,Human Immunodeficiency Virus Infections,465
18 to 29,"Infectious and Parasitic Diseases, Systemic or Unspecified Sites",5731
