ageGroup,LOS,count
0 to 17,1,53061
0 to 17,2,151456
0 to 17,3,72250
0 to 17,4,22790
0 to 17,5,9406
0 to 17,6,6285
0 to 17,7,5417
0 to 17,8,3541
0 to 17,9,2700
0 to 17,10,2281
0 to 17,11,1797
0 to 17,12,1486
0 to 17,13,1335
0 to 17,14,1221
0 to 17,15,923
0 to 17,16,868
0 to 17,17,694
0 to 17,18,580
0 to 17,19,521
0 to 17,20,536
0 to 17,21,529
0 to 17,22,464
0 to 17,23,374
0 to 17,24,326
0 to 17,25,300
0 to 17,26,264
0 to 17,27,284
0 to 17,28,235
0 to 17,29,247
0 to 17,30,5464
18 to 29,1,36997
18 to 29,2,71966
18 to 29,3,55523
18 to 29,4,24795
18 to 29,5,12623
18 to 29,6,7569
18 to 29,7,5725
18 to 29,8,4181
18 to 29,9,3079
18 to 29,10,2363
18 to 29,11,2035
18 to 29,12,1700
18 to 29,13,1650
18 to 29,14,1779
18 to 29,15,1176
18 to 29,16,879
18 to 29,17,745
18 to 29,18,652
18 to 29,19,636
18 to 29,20,587
18 to 29,21,707
18 to 29,22,470
18 to 29,23,420
18 to 29,24,364
18 to 29,25,311
18 to 29,26,294
18 to 29,27,345
18 to 29,28,774
18 to 29,29,237
18 to 29,30,3063
30 to 49,1,76052
30 to 49,2,115571
30 to 49,3,93508
30 to 49,4,49383
30 to 49,5,27670
30 to 49,6,17180
30 to 49,7,12907
30 to 49,8,9327
30 to 49,9,6892
30 to 49,10,5418
30 to 49,11,4524
30 to 49,12,3729
30 to 49,13,3495
30 to 49,14,3894
30 to 49,15,2581
30 to 49,16,2091
30 to 49,17,1724
30 to 49,18,1438
30 to 49,19,1394
30 to 49,20,1377
30 to 49,21,1599
30 to 49,22,1017
30 to 49,23,838
30 to 49,24,760
30 to 49,25,731
30 to 49,26,613
30 to 49,27,712
30 to 49,28,1554
30 to 49,29,510
30 to 49,30,6442
50 to 69,1,109091
50 to 69,2,118098
50 to 69,3,101294
50 to 69,4,70974
50 to 69,5,50882
50 to 69,6,36641
50 to 69,7,29724
50 to 69,8,22030
50 to 69,9,16370
50 to 69,10,12758
50 to 69,11,10343
50 to 69,12,8560
50 to 69,13,7758
50 to 69,14,7637
50 to 69,15,5757
50 to 69,16,4562
50 to 69,17,3911
50 to 69,18,3387
50 to 69,19,3051
50 to 69,20,2924
50 to 69,21,3082
50 to 69,22,2247
50 to 69,23,1844
50 to 69,24,1588
50 to 69,25,1476
50 to 69,26,1321
50 to 69,27,1297
50 to 69,28,1669
50 to 69,29,1015
50 to 69,30,13239
70 or Older,1,72659
70 or Older,2,90046
70 or Older,3,101550
70 or Older,4,77309
70 or Older,5,59455
70 or Older,6,47174
70 or Older,7,38418
70 or Older,8,28287
70 or Older,9,20827
70 or Older,10,16471
70 or Older,11,13257
70 or Older,12,10689
70 or Older,13,9217
70 or Older,14,8348
70 or Older,15,6650
70 or Older,16,5279
70 or Older,17,4387
70 or Older,18,3557
70 or Older,19,3112
70 or Older,20,2811
70 or Older,21,2770
70 or Older,22,2149
70 or Older,23,1771
70 or Older,24,1501
70 or Older,25,1325
70 or Older,26,1081
70 or Older,27,1130
70 or Older,28,1125
70 or Older,29,814
70 or Older,30,9519
